City Name,Latitude,Longitude
Charlotte,35.2272086,-80.8430827
Jacksonville,30.3321838,-81.655651
Miami,25.7820042,-80.22256439
Atlanta,33.7489924,-84.3902644
Memphis,35.1460249,-90.0517638
Charleston,32.7884363,-79.9399309
Birmingham,33.5206824,-86.8024326
